Company Name,Industry,Rating,Highly rated,Critically_rated,Founded Year,Global Count,India Count
JCB,Industrial Machinery ,4.0,Work Life Balance,Promotions / Appraisal,1945 (79 yrs old),10k-50k,1k-5k
Future Retail,Retail ,4.3,"Skill Development / Learning, Company Culture, Work Satisfaction",Promotions / Appraisal,1987 (37 yrs old),10k-50k,10k-50k
GlaxoSmithKline Pharmaceuticals,Pharma ,4.2,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,1830 (194 yrs old),50k-1 Lakh,1k-5k
Indian Railways,Railways ,4.2,"Job Security, Salary & Benefits, Skill Development / Learning",Promotions / Appraisal,1853 (171 yrs old),1 Lakh+,1 Lakh+
American Broadcasting Company,Mumbai +97 more,4.0,"Work Life Balance, Salary & Benefits, Job Security",Promotions / Appraisal,,,
upGrad,EdTech ,3.9,"Salary & Benefits, Skill Development / Learning",Promotions / Appraisal,2015 (9 yrs old),,5k-10k
Reliance Trends,Retail ,4.4,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,2006 (18 yrs old),1 Lakh+,1 Lakh+
Fincare Small Finance Bank,Banking ,4.1,"Job Security, Work Life Balance, Salary & Benefits",Promotions / Appraisal,2007 (17 yrs old),10k-50k,10k-50k
Renault-Nissan,Automobile ,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,2007 (17 yrs old),10k-50k,10k-50k
Raymond,Fashion & Textile ,4.1,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,1925 (99 yrs old),,5k-10k
Whirlpool,Consumer Electronics & Appliances ,4.1,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,1911 (113 yrs old),50k-1 Lakh,1k-5k
Care Health Insurance,Internet ,3.7,"Promotions / Appraisal, Salary & Benefits, Company Culture","Promotions / Appraisal, Salary & Benefits, Company Culture",2012 (12 yrs old),5k-10k,5k-10k
Gallagher,Insurance ,3.9,"Company Culture, Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",1927 (97 yrs old),10k-50k,10k-50k
Sobha,Real Estate ,4.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,1995 (29 yrs old),1k-5k,1k-5k
BHEL,Electrical Equipment ,4.2,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,1964 (60 yrs old),10k-50k,10k-50k
Bharat Petroleum,Oil & Gas ,4.2,"Skill Development / Learning, Salary & Benefits, Job Security",Promotions / Appraisal,1952 (72 yrs old),5k-10k,5k-10k
