Company Name,Industry,Rating,Highly rated,Critically_rated,Founded Year,Global Count,India Count,Years old
Exide Industries,Auto Components ,3.6,"Promotions / Appraisal, Company Culture, Work Satisfaction","Promotions / Appraisal, Company Culture, Work Satisfaction",1947,100000,100000,77
TVS Supply Chain Solutions,Logistics ,3.9,"Promotions / Appraisal, Salary & Benefits","Promotions / Appraisal, Salary & Benefits",1896,100000,100000,128
XpressBees,Logistics ,3.7,"Promotions / Appraisal, Company Culture, Job Security","Promotions / Appraisal, Company Culture, Job Security",2015,100000,100000,9
Tractors and Farm Equipment,Industrial Machinery ,4.1,"Skill Development / Learning, Work Life Balance, Company Culture",Promotions / Appraisal,2015,100000,100000,9
Lava International,Consumer Electronics & Appliances ,4.1,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,2009,100000,100000,15
Zomato,Internet ,3.8,"Promotions / Appraisal, Job Security","Promotions / Appraisal, Job Security",2008,100000,100000,16
Voltas,Consumer Electronics & Appliances ,4.1,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,1954,100000,100000,70
Fortis Healthcare,Healthcare ,4.1,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,1996,100000,100000,28
Taj Hotels Resorts and Palaces,Hospitality ,4.2,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,1903,100000,100000,121
Shree Cement,Building Material ,4.0,Promotions / Appraisal,Promotions / Appraisal,1979,100000,100000,45
KFintech,FinTech ,3.6,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",2017,100000,100000,7
State Street Syntel,Financial Services ,3.7,Job Security,"Salary & Benefits, Promotions / Appraisal",2004,100000,100000,20
Mahindra Logistics,Logistics ,4.0,"Skill Development / Learning, Company Culture",Promotions / Appraisal,2004,100000,100000,20
Yazaki,Auto Components ,3.8,Promotions / Appraisal,Promotions / Appraisal,1941,100000,100000,83
DS Group,FMCG ,4.1,"Work Life Balance, Job Security",Promotions / Appraisal,1941,100000,100000,83
ACT Fibernet,Telecom ,4.0,"Company Culture, Job Security, Salary & Benefits",Promotions / Appraisal,2008,100000,100000,16
Dalmia Bharat Cement,Building Material ,4.0,"Job Security, Salary & Benefits, Skill Development / Learning",Promotions / Appraisal,2008,100000,100000,16
KPMG Global Services,Bangalore / Bengaluru +30 more,3.7,Job Security,"Promotions / Appraisal, Work Satisfaction",2008,100000,100000,16
Indus Towers,Telecom ,3.9,Promotions / Appraisal,Promotions / Appraisal,2007,100000,100000,17
Himalaya Wellness,Pharma ,4.2,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,2007,100000,100000,17
Ola Cabs,Internet ,3.4,"Job Security, Promotions / Appraisal, Company Culture","Job Security, Promotions / Appraisal, Company Culture",2010,100000,100000,14
ZS Associates,Management Consulting ,3.5,Salary & Benefits,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",2010,100000,100000,14
Blue Star,Consumer Electronics & Appliances ,4.0,"Company Culture, Skill Development / Learning, Work Satisfaction","Work Life Balance, Work Satisfaction, Promotions / Appraisal",1943,100000,100000,81
Extramarks Education,EdTech ,3.4,"Job Security, Promotions / Appraisal, Work Satisfaction","Job Security, Promotions / Appraisal, Work Satisfaction",1943,100000,100000,81
VVDN Technologies,IT Services & Consulting ,3.6,"Promotions / Appraisal, Salary & Benefits, Company Culture","Promotions / Appraisal, Salary & Benefits, Company Culture",2007,100000,100000,17
Fujitsu,IT Services & Consulting ,3.8,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,1935,100000,100000,89
Mahindra Rural Housing Finance,NBFC ,4.1,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,2007,100000,100000,17
Lifestyle,Retail ,4.4,"Company Culture, Job Security, Skill Development / Learning",Promotions / Appraisal,1999,100000,100000,25
SRF,Chemicals ,4.2,"Job Security, Salary & Benefits, Skill Development / Learning",Promotions / Appraisal,1970,100000,100000,54
PhonePe,FinTech ,4.0,"Salary & Benefits, Job Security, Company Culture",Promotions / Appraisal,2015,100000,100000,9
Ajanta Pharma,Pharma ,4.0,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,1973,100000,100000,51
Ninjacart,Internet ,4.1,"Salary & Benefits, Skill Development / Learning, Company Culture",Promotions / Appraisal,2015,100000,100000,9
Sonalika Tractors,Automobile ,3.8,Job Security,"Promotions / Appraisal, Company Culture, Work Life Balance",1969,100000,100000,55
Aditya Birla Group,Building Material ,4.2,"Job Security, Skill Development / Learning, Company Culture","Promotions / Appraisal, Company Culture, Work Life Balance",1857,100000,100000,167
V-Mart,Retail ,4.2,"Skill Development / Learning, Job Security, Company Culture","Promotions / Appraisal, Company Culture, Work Life Balance",2002,100000,100000,22
Citicorp,Financial Services ,3.7,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",1997,100000,100000,27
Delhi Public School,Education & Training ,3.9,Skill Development / Learning,Promotions / Appraisal,1998,100000,100000,26
PVR Cinemas,Media & Entertainment ,4.1,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,1997,100000,100000,27
Datamatics Global Services,IT Services & Consulting ,3.5,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1975,100000,100000,49
Nokia Networks,Hardware & Networking ,4.3,"Company Culture, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1975,100000,100000,49
Eureka Forbes,Consumer Electronics & Appliances ,3.8,"Promotions / Appraisal, Job Security, Salary & Benefits","Promotions / Appraisal, Job Security, Salary & Benefits",1982,100000,100000,42
Movate,IT Services & Consulting ,3.4,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1996,100000,100000,28
NoBroker,Real Estate ,3.2,"Promotions / Appraisal, Work Satisfaction, Job Security","Promotions / Appraisal, Work Satisfaction, Job Security",2014,100000,100000,10
Info Edge,Internet ,4.0,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Work Satisfaction, Job Security",2014,100000,100000,10
Cholamandalam MS General Insurance,Insurance ,3.9,Promotions / Appraisal,Promotions / Appraisal,2001,100000,100000,23
Parle Agro,Beverage ,4.1,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,1984,100000,100000,40
Shell,Oil & Gas ,4.2,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal,1907,100000,100000,117
Radisson Hotels,Hospitality ,4.0,"Skill Development / Learning, Job Security, Work Life Balance",Promotions / Appraisal,1909,100000,100000,115
Tata Elxsi,IT Services & Consulting ,4.0,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",1989,100000,100000,35
Kansai Nerolac Paints,Chemicals ,3.9,Job Security,Promotions / Appraisal,1920,100000,100000,104
Kalpataru Power Transmission,Engineering & Construction ,4.2,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,1981,100000,100000,43
Emcure Pharmaceuticals,Pharma ,3.8,"Promotions / Appraisal, Job Security","Promotions / Appraisal, Job Security",1981,100000,100000,43
MSN Laboratories,Pharma ,3.8,Job Security,Company Culture,2003,100000,100000,21
suzuki motor gujarat,Becharaji +95 more,4.3,"Job Security, Salary & Benefits, Company Culture",Company Culture,2003,100000,100000,21
Cybage,IT Services & Consulting ,3.9,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,1995,100000,100000,29
Life Insurance Corporation of India,Insurance ,4.4,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal,1956,100000,100000,68
Unacademy,EdTech ,3.1,"Job Security, Promotions / Appraisal, Work Satisfaction","Job Security, Promotions / Appraisal, Work Satisfaction",2015,100000,100000,9
ICICI Securities,Financial Services ,3.9,Job Security,"Job Security, Promotions / Appraisal, Work Satisfaction",1995,100000,100000,29
Foundever,BPO ,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",1985,100000,100000,39
Mahindra Holidays & Resorts,Hospitality ,3.6,"Promotions / Appraisal, Work Life Balance, Work Satisfaction","Promotions / Appraisal, Work Life Balance, Work Satisfaction",1996,100000,100000,28
Blinkit,Internet ,3.8,"Job Security, Promotions / Appraisal","Job Security, Promotions / Appraisal",2013,100000,100000,11
JMC Projects,Engineering & Construction ,4.2,"Job Security, Skill Development / Learning, Salary & Benefits","Job Security, Promotions / Appraisal",1982,100000,100000,42
Rivigo,Internet ,3.9,Skill Development / Learning,"Promotions / Appraisal, Job Security, Salary & Benefits",2014,100000,100000,10
Myntra,Internet ,4.0,"Company Culture, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,2007,100000,100000,17
3i Infotech,IT Services & Consulting ,3.6,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",1993,100000,100000,31
Planet Spark,EdTech ,3.7,Skill Development / Learning,Promotions / Appraisal,2017,100000,100000,7
Akums Drugs & Pharmaceuticals Limited,Pharma ,4.4,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,2017,100000,100000,7
Google,Internet ,4.4,"Company Culture, Salary & Benefits, Work Life Balance",Promotions / Appraisal,1995,100000,100000,29
Jindal Stainless,Iron & Steel ,4.2,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,1970,100000,100000,54
Pfizer,Pharma ,4.1,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal,2004,100000,100000,20
Syngene International,Pharma ,3.9,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",1993,100000,100000,31
Cadila Pharmaceuticals,Pharma ,3.5,"Job Security, Promotions / Appraisal, Work Satisfaction","Job Security, Promotions / Appraisal, Work Satisfaction",1951,100000,100000,73
JCB,Industrial Machinery ,4.0,Work Life Balance,Promotions / Appraisal,1945,100000,100000,79
Future Retail,Retail ,4.3,"Skill Development / Learning, Company Culture, Work Satisfaction",Promotions / Appraisal,1987,100000,100000,37
GlaxoSmithKline Pharmaceuticals,Pharma ,4.2,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,1830,100000,100000,194
Indian Railways,Railways ,4.2,"Job Security, Salary & Benefits, Skill Development / Learning",Promotions / Appraisal,1853,100000,100000,171
American Broadcasting Company,Mumbai +97 more,4.0,"Work Life Balance, Salary & Benefits, Job Security",Promotions / Appraisal,1853,100000,100000,171
upGrad,EdTech ,3.9,"Salary & Benefits, Skill Development / Learning",Promotions / Appraisal,2015,100000,100000,9
Reliance Trends,Retail ,4.4,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,2006,100000,100000,18
Fincare Small Finance Bank,Banking ,4.1,"Job Security, Work Life Balance, Salary & Benefits",Promotions / Appraisal,2007,100000,100000,17
Renault-Nissan,Automobile ,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,2007,100000,100000,17
Raymond,Fashion & Textile ,4.1,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,1925,100000,100000,99
Whirlpool,Consumer Electronics & Appliances ,4.1,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,1911,100000,100000,113
Care Health Insurance,Internet ,3.7,"Promotions / Appraisal, Salary & Benefits, Company Culture","Promotions / Appraisal, Salary & Benefits, Company Culture",2012,100000,100000,12
Gallagher,Insurance ,3.9,"Company Culture, Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",1927,100000,100000,97
Sobha,Real Estate ,4.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,1995,100000,100000,29
BHEL,Electrical Equipment ,4.2,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,1964,100000,100000,60
Bharat Petroleum,Oil & Gas ,4.2,"Skill Development / Learning, Salary & Benefits, Job Security",Promotions / Appraisal,1952,100000,100000,72
Ambuja Cements,Building Material ,3.9,Promotions / Appraisal,Promotions / Appraisal,1983,100000,100000,41
Aavas Financiers,Financial Services ,3.9,Promotions / Appraisal,Promotions / Appraisal,2011,100000,100000,13
Bharat Financial Inclusion,NBFC ,4.0,"Salary & Benefits, Job Security, Company Culture",Promotions / Appraisal,1998,100000,100000,26
Sopra Steria,IT Services & Consulting ,4.0,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,1998,100000,100000,26
